episode_id,cohort_id,operator_id,session_id,assignment_block,assignment_order,failure_mode,accepted,duration_minutes,loaded_rate_per_minute,cost_usd,rights_complete,randomization_seed,joint_tracking_rmse_rad,peak_joint_effort_nm,gripper_effort_nm,command_samples,measured_state_samples
targeted_0001,targeted,operator_01,session_01,block_01,1,nominal,1,5.000,2.000,10.00,1,424242,0.032226,4.330432,0.467831,1000,1000
targeted_0002,targeted,operator_01,session_01,block_01,2,lateral_offset,1,5.000,2.000,10.00,1,424242,0.050053,4.455229,0.692284,1000,1000
random_0001,random,operator_01,session_01,block_01,3,nominal,1,5.000,2.000,10.00,1,424242,0.041514,7.200544,1.013302,1000,1000
random_0002,random,operator_01,session_01,block_01,4,lateral_offset,1,5.000,2.000,10.00,1,424242,0.036869,4.708061,1.077743,1000,1000
targeted_0003,targeted,operator_01,session_01,block_01,5,high_friction,1,5.000,2.000,10.00,1,424242,0.017734,4.178223,0.589738,1000,1000
targeted_0004,targeted,operator_01,session_01,block_01,6,compliance_edge,1,5.000,2.000,10.00,1,424242,0.043856,4.023229,0.586066,1000,1000
random_0003,random,operator_01,session_01,block_01,7,high_friction,1,5.000,2.000,10.00,1,424242,0.034412,2.860058,0.385532,1000,1000
targeted_0005,targeted,operator_01,session_01,block_01,8,nominal,1,5.000,2.000,10.00,1,424242,0.050913,4.116245,0.616599,1000,1000
random_0004,random,operator_01,session_01,block_01,9,compliance_edge,1,5.000,2.000,10.00,1,424242,0.051553,6.640609,0.357657,1000,1000
random_0005,random,operator_01,session_01,block_01,10,nominal,1,5.000,2.000,10.00,1,424242,0.035167,6.053911,0.351647,1000,1000
targeted_0006,targeted,operator_01,session_01,block_01,11,lateral_offset,1,5.000,2.000,10.00,1,424242,0.014977,3.351967,0.571376,1000,1000
random_0006,random,operator_01,session_01,block_01,12,lateral_offset,1,5.000,2.000,10.00,1,424242,0.046718,6.593885,0.584061,1000,1000
random_0007,random,operator_01,session_01,block_01,13,high_friction,1,5.000,2.000,10.00,1,424242,0.014734,6.971311,0.360030,1000,1000
random_0008,random,operator_01,session_01,block_01,14,compliance_edge,1,5.000,2.000,10.00,1,424242,0.021621,6.203107,1.035103,1000,1000
random_0009,random,operator_01,session_01,block_01,15,nominal,1,5.000,2.000,10.00,1,424242,0.025337,7.004646,0.734490,1000,1000
targeted_0007,targeted,operator_01,session_01,block_01,16,high_friction,1,5.000,2.000,10.00,1,424242,0.044861,7.054346,0.507502,1000,1000
targeted_0008,targeted,operator_01,session_01,block_01,17,compliance_edge,1,5.000,2.000,10.00,1,424242,0.017745,6.306526,0.855619,1000,1000
random_0010,random,operator_01,session_01,block_01,18,lateral_offset,1,5.000,2.000,10.00,1,424242,0.014322,5.124470,0.595596,1000,1000
targeted_0009,targeted,operator_01,session_01,block_01,19,nominal,1,5.000,2.000,10.00,1,424242,0.046578,4.854461,1.093693,1000,1000
targeted_0010,targeted,operator_01,session_01,block_01,20,lateral_offset,1,5.000,2.000,10.00,1,424242,0.029224,5.314047,0.360891,1000,1000
random_0011,random,operator_01,session_01,block_01,21,high_friction,1,5.000,2.000,10.00,1,424242,0.047598,6.659458,0.788198,1000,1000
targeted_0011,targeted,operator_01,session_01,block_01,22,high_friction,1,5.000,2.000,10.00,1,424242,0.034534,4.904175,0.348566,1000,1000
targeted_0012,targeted,operator_02,session_02,block_02,1,compliance_edge,1,5.000,2.000,10.00,1,424242,0.025227,6.243705,1.174861,1000,1000
random_0012,random,operator_02,session_02,block_02,2,compliance_edge,1,5.000,2.000,10.00,1,424242,0.029443,4.347381,0.429485,1000,1000
targeted_0013,targeted,operator_02,session_02,block_02,3,nominal,1,5.000,2.000,10.00,1,424242,0.012016,3.438235,1.080712,1000,1000
targeted_0014,targeted,operator_02,session_02,block_02,4,lateral_offset,1,5.000,2.000,10.00,1,424242,0.016145,3.102313,0.414254,1000,1000
random_0013,random,operator_02,session_02,block_02,5,nominal,1,5.000,2.000,10.00,1,424242,0.024114,5.699192,0.500588,1000,1000
targeted_0015,targeted,operator_02,session_02,block_02,6,high_friction,1,5.000,2.000,10.00,1,424242,0.019099,7.154328,1.091923,1000,1000
random_0014,random,operator_02,session_02,block_02,7,lateral_offset,1,5.000,2.000,10.00,1,424242,0.014638,4.844313,0.808141,1000,1000
targeted_0016,targeted,operator_02,session_02,block_02,8,compliance_edge,1,5.000,2.000,10.00,1,424242,0.040426,4.091454,0.907895,1000,1000
random_0015,random,operator_02,session_02,block_02,9,high_friction,1,5.000,2.000,10.00,1,424242,0.040189,6.401198,0.860380,1000,1000
random_0016,random,operator_02,session_02,block_02,10,compliance_edge,1,5.000,2.000,10.00,1,424242,0.034409,4.923615,1.061522,1000,1000
targeted_0017,targeted,operator_02,session_02,block_02,11,nominal,1,5.000,2.000,10.00,1,424242,0.019596,3.320207,0.789360,1000,1000
random_0017,random,operator_02,session_02,block_02,12,nominal,1,5.000,2.000,10.00,1,424242,0.041084,4.510908,0.919772,1000,1000
targeted_0018,targeted,operator_02,session_02,block_02,13,lateral_offset,1,5.000,2.000,10.00,1,424242,0.024607,4.314674,0.677826,1000,1000
random_0018,random,operator_02,session_02,block_02,14,lateral_offset,1,5.000,2.000,10.00,1,424242,0.027272,6.788830,0.360269,1000,1000
targeted_0019,targeted,operator_02,session_02,block_02,15,high_friction,1,5.000,2.000,10.00,1,424242,0.014720,3.087152,0.304294,1000,1000
targeted_0020,targeted,operator_02,session_02,block_02,16,compliance_edge,1,5.000,2.000,10.00,1,424242,0.038328,4.800545,1.092757,1000,1000
random_0019,random,operator_02,session_02,block_02,17,high_friction,1,5.000,2.000,10.00,1,424242,0.036578,2.907816,1.058123,1000,1000
