trial_id,domain,split,scenario_id,failure_mode,condition_order,condition_seed,policy_id,cohort_id,training_seed,policy_order,success,safety_event,protective_stop,limit_violation,contact_force_proxy_breach,catastrophic_event,intervention,completion_time_s,excluded,exclusion_reason,replacement_scenario_id,policy_control_started,incident_timestamp_ns,outcome_reviewer_blinded,scenario_hidden_from_training,trial_seed
real_0001_baseline_bc_003,real,heldout,real_scenario_0001,nominal,1,515151,baseline_bc_003,baseline,0,3,0,0,0,0,0,0,0,19.827104,0,,,1,,1,1,3923298878
real_0001_random_bc_104729,real,heldout,real_scenario_0001,nominal,1,515151,random_bc_104729,random,104729,1,1,0,0,0,0,0,0,8.932040,0,,,1,,1,1,1752009931
real_0001_targeted_bc_104729,real,heldout,real_scenario_0001,nominal,1,515151,targeted_bc_104729,targeted,104729,6,1,0,0,0,0,0,0,14.118868,0,,,1,,1,1,2594416685
real_0001_random_bc_130363,real,heldout,real_scenario_0001,nominal,1,515151,random_bc_130363,random,130363,5,1,0,0,0,0,0,0,13.843408,0,,,1,,1,1,1193630015
real_0001_targeted_bc_130363,real,heldout,real_scenario_0001,nominal,1,515151,targeted_bc_130363,targeted,130363,7,1,0,0,0,0,0,0,13.867302,0,,,1,,1,1,1898804647
real_0001_random_bc_155921,real,heldout,real_scenario_0001,nominal,1,515151,random_bc_155921,random,155921,4,0,0,0,0,0,0,0,20.705002,0,,,1,,1,1,2183489402
real_0001_targeted_bc_155921,real,heldout,real_scenario_0001,nominal,1,515151,targeted_bc_155921,targeted,155921,2,0,0,0,0,0,0,0,25.315699,0,,,1,,1,1,3307523680
real_0002_baseline_bc_003,real,heldout,real_scenario_0002,nominal,2,515151,baseline_bc_003,baseline,0,1,1,0,0,0,0,0,0,9.597007,0,,,1,,1,1,714798359
real_0002_random_bc_104729,real,heldout,real_scenario_0002,nominal,2,515151,random_bc_104729,random,104729,7,1,0,0,0,0,0,0,14.354280,0,,,1,,1,1,982753832
real_0002_targeted_bc_104729,real,heldout,real_scenario_0002,nominal,2,515151,targeted_bc_104729,targeted,104729,6,1,0,0,0,0,0,0,12.380847,0,,,1,,1,1,1576869541
real_0002_random_bc_130363,real,heldout,real_scenario_0002,nominal,2,515151,random_bc_130363,random,130363,5,0,0,0,0,0,0,0,26.655667,0,,,1,,1,1,1087708187
real_0002_targeted_bc_130363,real,heldout,real_scenario_0002,nominal,2,515151,targeted_bc_130363,targeted,130363,2,1,0,0,0,0,0,0,10.936471,0,,,1,,1,1,1584364851
real_0002_random_bc_155921,real,heldout,real_scenario_0002,nominal,2,515151,random_bc_155921,random,155921,3,1,0,0,0,0,0,0,8.996245,0,,,1,,1,1,5074049
real_0002_targeted_bc_155921,real,heldout,real_scenario_0002,nominal,2,515151,targeted_bc_155921,targeted,155921,4,0,0,0,0,0,0,0,20.332477,0,,,1,,1,1,4030810820
real_0003_baseline_bc_003,real,heldout,real_scenario_0003,compliance_edge,3,515151,baseline_bc_003,baseline,0,5,1,0,0,0,0,0,0,10.227587,0,,,1,,1,1,3715549628
real_0003_random_bc_104729,real,heldout,real_scenario_0003,compliance_edge,3,515151,random_bc_104729,random,104729,4,1,0,0,0,0,0,0,8.986452,0,,,1,,1,1,3984732111
